Numéro,Artiste,Paroles
1,poopy,"Sendra nandalo anie aho tamin’izay
Nivezivezy fa tokana iray
Tampoka teo reko avy any aminao
Hazavana hafanana hatsarana
Sendra nandalo ianao tamin’izay
Nifanojo ny masotsika
Nientana iray ny fo sy fanahy
Ka tsarako tsy afaka an-doha

Tsy nisy nanampo izaho sy ianao
Fa hifanojo dia ho eto izao
Vonona ny hiaraka fa tia
Ka ny faniriana ho doria

Tonga tsy nantsoina avy ao anatiko ao
Nisy hery iray fitiavako anao
Sitraky ny ray fa ho antsika amin’izay
Ny hitambatra olon’iray
Reko fa nanohina ilay antsonao
Ny bitsika manginan’ny foko
Tsy haiko nolavina fa hery iray
Izay nandresy ireo ahiahy.        --------"
2,poopy,"Tsy nisy jamba noho izay
Minia tsy mahita iray
Fa hadalana ny kilemany

Izaho nitsapatsapa pahina
Ninia nikipy taminao
Takon’ny aloka tokoa

Tsia, tsy hanindroa tsy hamerina
Satria efa mahiratra
Mivoady aminao fa hiova
Aza hamafisiana ny fo 
Aza foinao fa mila anao

Nitompo teny fantatra aho 
Ho manana ny marina 
Hay adalana ny fiheverako

Fa toa sangy ratsy ity natao
Nanifika ny tananao
Nefa tsy  mahatokana

Aza dia tsarovana 
Ny ora sy andro lasana izay mangidy
Sy mafy indrindra 
Mba avelao hivalona any.
   (1996)        --------"
3,poopy,"Heeyy ! hisy fotoana ahatsiarovanao
Ilay fitianavana, nomeko anao
Heeyy ! hisy fotoana ho tsapanao,
Izany atao hoe tia
Fantatro aho fa tsy lafatra
Toa mbola lavitra, izay andrasanao
Satria, aho tia, niezaka aho anao izay tia anao
Saingy efa lany ela nga ny mamy tany
Ny mangidy no navelanao ho ahy
Sa tsy foinao ho anjarako izany mamy izany
Ka naleonao aho nitomany

Tsy nanenenako ny nitia anao
Afa-po aho, nanome ho anao,(ho anao)
Fa mbola hisy tena ahatsiarovanao ilay fitia
Ilay tena tia …
(Mandehana tsy amin’ ahiahy)
(Faniriana fa tsy nety ny ahy)
(Mandehana tsy amin’ ahiahy)
(Ampy ho ahy izay nomeko anao)
(Fa ny aty anataneraka)
(Antenaiko mbola ho tsapanao)
(Ka ho tsara no ahatsiarovana ho ahy)

Ary amin’izay fotoana ho avy iray izay
Mety ahatsiaro ianao
Hisy tsikitsiky iray malefaka eo imolotrao
Ka ho tsapanao ilay fitia

Tsy nanenenako ny nitia anao
Afa-po aho, nanome ho anao,(ho anao)
Fa mbola hisy tena ahatsiarovanao ilay fitia
Ilay tena tia …

Tsy nanenenako ny nitia anao
Afa-po aho, nanome ho anao,(ho anao)
Fa mbola hisy tena ahatsiarovanao ilay fitia
Ilay tena tia …

(Mandehana tsy amin’ ahiahy)
(Faniriana fa tsy nety ny ahy)
(Mandehana tsy amin’ ahiahy)
(Ampy ho ahy izay nomeko anao)
(Fa ny aty anatanteraka)
(Antenaiko mbola ho tsapanao)
(Ka ho tsara no ahatsiarovana ho ahy)

Ary amin’izay fotoana ho avy iray izay
Mety ahatsiaro ianao
Hisy tsikitsiky iray malefaka eo imolotrao
Ka ho tsapanao ilay fitia

Tsy nanenenako ny nitia anao
Afa-po aho, nanome ho anao,(ho anao)
Fa mbola hisy tena ahatsiarovanao ilay fitia
Ilay tena tia …

Tsy nanenenako ny nitia anao
Afa-po aho, nanome ho anao,(ho anao)
Fa mbola hisy tena ahatsiarovanao ilay fitia
Ilay tena tia …

Tsy nanenenako ny nitia anao
…….
Fa mbola hisy tena ahatsiarovanao ….        --------"
4,poopy,"Raha handeha ianao izao
Ka ilaozanao eto aho
Raha avelanao irery
Dia hangina aho tsy hiteny
Ka ny ho avy hatrehiko
Raha tsy ho eo intsony ianao
Ambom-po no asehoko
Amin’izay tsy ho fantatrao
Tsy hitamby aminao
Na mangidy aza izany
Mainka mantsy ho fantatrao
Ka izaho tsy hitomany
Ka ny hoaviko eny indrisy
Efa nopotehinao
Ho saronako ilay tsiky
Amin’izay tsy ho fantatrao

Tsy hataoko ho fantatrao
Ny ratra am-poko ao
Sao araraotinao hampijaliana ahy indray
Hataoko ho toy ny hoe
Tsy tiako intsony ianao
Hiala aminao aho sy hanadino anao

Raha ho faty ny fitia
Ka handainga ny masonao
Hamitaka ahy ny fonao 
Ho an’olon-kafa indray
Amin’izay ny hoaviko
Mety ho maizina amiko
Nefa hitsiky ihany aho
Amin’izay tsy ho fantatrao.        --------"
5,poopy,"REF:Mbola ho tia ve ny foko,raha tsy ho eo intsony ianao
       Tsy hitako ho sainina akory hitia olon-kafa fa tsy ianao
       Hiova sy mbola hanavao fitiavana tsy ho anao
       K’aleoko izaho no ho foana toy izay ianao,ianao

Izay rehetra naleha niarahana taminao
Mbola hiverenako ve ho an’olon-kafa indray
Sao lahy ahatsiahy mafy anao aho ka hampahory ahy
Ka ho maina fa hangahiahy aho (2)aky

Mbola ho vitako ve ny hilaza tsy aminao
Fitiavana be dia be noheveriko ho anao
Sao lany andro ampitaha aho ka hanahirana
Ka ho maina fa hangahiahy aho

REF:...

Hangitakitaka ve ny doboky ny foko
Hijaly kely ihany koa ve ny aty fanahiko
Sao olon-kafa tsy ianao no ho eo anilako
Manahy aho,manahy,manahy mafy aho aky
Tena mbola manahy,fa hangahiahy satria
Ho haiko ve ny hanadino anao

REF:...        --------"
6,poopy,"Mbola ho tia ve ny foko raha tsy ho eo intsony ianao ?
Tsy hitako ho sainina akory ny hitia olon-kafa fa tsy ianao
Hiova sy mbola hanavao, fitiavana tsy ho anao
Ka aleoko izaho no ho foana toy izay ianao, ianao

Izay rehetra naleha niarahana taminao
Mbola hiverenako ve ho an’olon-kafa indray ?
Sao lahy ahatsiahy mafy anao ka ampahory ahy ?
Ka ho maina, hangahiahy aho
Ka ho maina, hangahiahy aho akia

Mbola hovitako ve ny hilaza tsy aminao 
Fitiavana be dia be noheveriko ho anao ?
Sao lany andro ampitahy aho ka hanahirana ahy
Ka ho maina, hangahiahy aho

Mbola ho tia ve ny foko raha tsy ho eo intsony ianao ?
Tsy hitako ho sainina akory ny hitia olon-kafa fa tsy ianao
Hiova sy mbola hanavao, fitiavana tsy ho anao
Ka aleoko izaho no ho foana toy izay ianao, ianao

Hangitakitaka ve ny doboky ny fo ?
Hijaly kely ihany koa ve ny ati-fanahiko ?
Raha olon-kafa tsy ianao no ho eo anilako
Manahy aho, manahy, manahy mafy aho akia
Tena mbola manahy, fa hangahiahy satria
Ho aiko ve ny anadino anao ?

Mbola ho tia ve ny foko raha tsy ho eo intsony ianao ?
Tsy hitako ho sainina akory ny hitia olon-kafa fa tsy ianao
Hiova sy mbola hanavao, fitiavana tsy ho anao
Ka aleoko izaho no ho foana toy izay ianao, ianao

Ka aleoko izaho no ho foana toy izay ianao, ianao        --------"
7,poopy,Aleo mangina ihany aloha        --------
8,poopy,"Mifampiantsoantso i Koto sy i Bozy
Andeha hiverina hampody indray ny omby
Ny hazavana lasa nitsipozipozy
Mamindra mailaka hamonjy indray ny toby

Làlana lavitra
Mankany ambanivohitra
Ny rivotra iainana
Madio mamelon""aina

Ny sasany efa indreo mamindro amoron’afo
Tsy misy trano moa ka lanitra no tafo
Ny ankamantatra sy ny anganoangano
Ifandimbiasana hanalana hamohamo.

Fa izay rehetra velon’aina
Mbola misy antenaina

http://www.multimania.com/schmilblik/malagasyrainb.html        --------"
9,poopy,"Ampianaro aho Tompo mba 
Ho haiko ny mitondra ilay 
fitiavana ato am-poko mba
Ho ravaka diamondra
Toroy aho ry Raiko
Ilay fitiavana anatiko
Tsy ahavery ahy
Fa atolotro ho fanatitro

Homeo ahy ny fandeferana
Handreseko ny ambom-po
Toroy ny faharetana
Handrandrako valisoa
Homeo ahy ny fahendrena 
Sy ny fiharovan-tena
Ho mendrika tokoa re
Ny fitiavanao

Toroy aho hahay hitia
Ampio mba ho mendrika
Tahio aho aharitra ho doria
F’aza avelanao ho rendrika

Ny fitia avy aminao
Fa faniriana hiany ny ahy
Hapetrako eo an-tananao
Ny foko mino tsy manahy        --------"
10,poopy,"Tsy miova aho,
Mbola tia anao,
Tokana ihany ny ao anatin’ny foko
Hatramin’izay nahalalako anao,
Dia efa lasanao aho.

Tsy niova aho,
Mbola tena tia,
Manaiky anao
Ho doria doria, 
Ka izay fankampanahy
Tsy hampihontsona ahy
Satria ….

Ampy ho ahy ianao
Tena feno aho misy anao,
Tsi’sy miafina aminao
Ny momba ahy,
Ny aminao koa dia fantatro.

Ampy ho ahy ianao,
Tena feno aho misy anao,
Ampy ahy izay foinao omena ahy
Satria vokatry ny fitia.

Mihamatotra ny fiarahantsika,
Mifamatotra ny fitiavantsika,
Mifampitsinjo, mifanaja koa
Satria, izany no tena fitia.

Tsy mifankafoy, mifanohana hatrany,
Mifampahery raha sendra tomany,
Izay hampiadana ny fanahy sy ny fo
Dia ho tanterahintsika.

Ampy ho ahy ianao,
Feno aho misy anao,
Ampy ho ahy ianao,
Tsy atakaloko ianao.

Ampy ho ahy ianao,
Feno aho misy anao,
Ampy ho ahy ianao,
Tsy atakaloko ianao.

Ampy ho ahy ianao,
Feno aho misy anao,
Ampy ho ahy ianao,
Tsy atakaloko ianao.        --------"
